Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Object_ID	Accession-2
prsA		2193730	2194725	ribose-phosphate pyrophosphokinase	prsA	SYNPCC7942_2113	SYNPCC7942_RS10710
purN2		576665	577840	phosphoribosylglycinamide formyltransferase 2	purN2	SYNPCC7942_0588	SYNPCC7942_RS03015
fbp		2032854	2033402	ferripyochelin binding protein	fbp	SYNPCC7942_1961	SYNPCC7942_RS09950
SYNPCC7942_0940		945289	945639	transcriptional regulator, XRE family	SYNPCC7942_0940	SYNPCC7942_0940	SYNPCC7942_RS04835
dxr		1563532	1564740	1-deoxy-D-xylulose 5-phosphate reductoisomerase	rsuA2 // dxr	SYNPCC7942_1513	SYNPCC7942_RS07735
clpP2		2606782	2607516	ClpP2	SYNPCC7942_2528 // SYNPCC7942_2527 // clpX // clpP2	SYNPCC7942_2525	SYNPCC7942_RS12820
ndhD3		2173280	2174821	proton-translocating NADH-quinone oxidoreductase, subunit NdhD3	ndhD3 // ndhF3	SYNPCC7942_2092	SYNPCC7942_RS10605
uvrB		543654	545654	UvrABC system protein, B subunit	uvrB	SYNPCC7942_0563	SYNPCC7942_RS02865
ndhE		1379614	1379925	NADH dehydrogenase subunit 4L	ndhE // ndhG // ndhI // ndhA	SYNPCC7942_1346	SYNPCC7942_RS06880
rpsD		1536986	1537594	30S ribosomal subunit protein S4	rpsD	SYNPCC7942_1487	SYNPCC7942_RS07600
grpE		2149802	2150425	heat shock protein GrpE	grpE	SYNPCC7942_2072	SYNPCC7942_RS10505
SYNPCC7942_0365		356676	357305	response regulator receiver domain protein (CheY-like)	SYNPCC7942_0365	SYNPCC7942_0365	SYNPCC7942_RS01860
pgl		513612	514331	6-phosphogluconolactonase	SYNPCC7942_0531 // SYNPCC7942_0530 // pgl	SYNPCC7942_0529	SYNPCC7942_RS02690
xerC		44779	45741	site-specific recombinase	xerC	SYNPCC7942_B2651	SYNPCC7942_RS13590
SYNPCC7942_1931		2005055	2005825	probable serine/threonine protein phosphatase	SYNPCC7942_1931 // SYNPCC7942_1930 // SYNPCC7942_1929	SYNPCC7942_1931	SYNPCC7942_RS09800
irpA		1514071	1515141	iron-regulated protein A	irpA // irpB	SYNPCC7942_1462	SYNPCC7942_RS07480
cpsB		484585	487098	mannose-1-phosphate guanyltransferase	cpsB	SYNPCC7942_0498	SYNPCC7942_RS02530
aroF		2581939	2583003	phospho-2-dehydro-3-deoxyheptonate aldolase	aroF	SYNPCC7942_2501	SYNPCC7942_RS12690
SYNPCC7942_2053		2130328	2132259	probable peptidase	SYNPCC7942_2053	SYNPCC7942_2053	SYNPCC7942_RS10415
cbbZ		2695049	2695870	phosphoglycolate phosphatase	cbbZ	SYNPCC7942_2613	SYNPCC7942_RS13310
pyrR		1348834	1349373	Pyrimidine operon attenuation protein/uracil phosphoribosyltransferase	pyrR	SYNPCC7942_1319	SYNPCC7942_RS06745
nblC		1491796	1492290	anti-sigma regulatory factor NblC	nblC	SYNPCC7942_1438	SYNPCC7942_RS07355
SYNPCC7942_0471		457882	458712	ABC-type sugar transport system permease component	SYNPCC7942_0471	SYNPCC7942_0471	SYNPCC7942_RS02405
atpA		330878	332395	ATP synthase F1, &alpha; subunit	atpG // atpA	SYNPCC7942_0336	SYNPCC7942_RS01710
SYNPCC7942_2026		2094451	2095854	probable glycosyltransferase	SYNPCC7942_2028 // SYNPCC7942_2027 // SYNPCC7942_2026 // SYNPCC7942_2025	SYNPCC7942_2026	SYNPCC7942_RS10280
SYNPCC7942_2584		2668941	2669705	probable short chain dehydrogenase	SYNPCC7942_2584 // SYNPCC7942_2583	SYNPCC7942_2584	SYNPCC7942_RS13160
SYNPCC7942_1905		1979496	1982498	cyclic nucleotide-binding domain (cNMP-BD) protein	SYNPCC7942_1906 // SYNPCC7942_1905	SYNPCC7942_1905	SYNPCC7942_RS09660
ndhB		1466530	1468095	Proton-translocating NADH-quinone oxidoreductase, subunit NdhB	ndhB	SYNPCC7942_1415	SYNPCC7942_RS07240
SYNPCC7942_0448		437534	438628	Peptidase M50, putative membrane-associated zinc metallopeptidase	SYNPCC7942_0448 // end3 // rpsN	SYNPCC7942_0448	SYNPCC7942_RS02290
ftsY		2553267	2554823	signal recognition particle-docking protein FtsY	ftsY // nusB	SYNPCC7942_2472	SYNPCC7942_RS12565
SYNPCC7942_1272		1296234	1296761	conserved hypothetical protein	SYNPCC7942_1272	SYNPCC7942_1272	SYNPCC7942_RS06515
hliA		2066152	2066370	high light-inducible protein	hliA	SYNPCC7942_1997	SYNPCC7942_RS10125
SYNPCC7942_2184		2262518	2263318	conserved hypothetical protein	SYNPCC7942_2184	SYNPCC7942_2184	SYNPCC7942_RS11100
sbcC		2641349	2644351	exonuclease SbcC	sbcC	SYNPCC7942_2563	SYNPCC7942_RS13025
maeA		1322910	1324319	Malate dehydrogenase (oxaloacetate decarboxylating)	maeA	SYNPCC7942_1297	SYNPCC7942_RS06635
SYNPCC7942_0005		6111	7706	conserved hypothetical protein	SYNPCC7942_0005	SYNPCC7942_0005	SYNPCC7942_RS00025
mtnA		2062388	2063434	Methylthioribose-1-phosphate isomerase	mtnA	SYNPCC7942_1992	SYNPCC7942_RS10100
SYNPCC7942_0363		355509	355793	conserved hypothetical protein	SYNPCC7942_0363 // SYNPCC7942_0362	SYNPCC7942_0363	SYNPCC7942_RS01850
rplI		2637730	2638188	50S ribosomal subunit protein L9	rplI	SYNPCC7942_2559	SYNPCC7942_RS13005
purB		313079	314374	adenylosuccinate lyase	purB	SYNPCC7942_0315	SYNPCC7942_RS01605
SYNPCC7942_1209		1234970	1235230	conserved hypothetical protein	SYNPCC7942_1212 // mobA2 // SYNPCC7942_1210 // SYNPCC7942_1209	SYNPCC7942_1209	SYNPCC7942_RS06190
SYNPCC7942_1383		1429798	1430310	Inorganic diphosphatase	SYNPCC7942_1383	SYNPCC7942_1383	SYNPCC7942_RS07080
SYNPCC7942_2157		2240800	2241084	conserved hypothetical protein	SYNPCC7942_2157	SYNPCC7942_2157	SYNPCC7942_RS10960
psaK		400429	400671	PsaK	psaK	SYNPCC7942_0407	SYNPCC7942_RS02075
psbU		1954814	1955224	PsbU	psbU	SYNPCC7942_1882	SYNPCC7942_RS09545
SYNPCC7942_0316		314432	314623	conserved hypothetical protein	SYNPCC7942_0316	SYNPCC7942_0316	SYNPCC7942_RS01610
ama		2041038	2041484	N-acyl-L-amino acid amidohydrolase	SYNPCC7942_1971 // ama	SYNPCC7942_1970	
SYNPCC7942_1164		1197417	1198841	conserved hypothetical protein	SYNPCC7942_1164	SYNPCC7942_1164	SYNPCC7942_RS05970
SYNPCC7942_2536		2619093	2619626	Heat shock protein DnaJ-like	clpP3 // SYNPCC7942_2536	SYNPCC7942_2536	SYNPCC7942_RS12875
per1		2526169	2526804	1-Cys peroxiredoxin	per1	SYNPCC7942_2449	SYNPCC7942_RS12445
SYNPCC7942_2118		2199694	2199981	conserved hypothetical protein	SYNPCC7942_2118	SYNPCC7942_2118	SYNPCC7942_RS10740
SYNPCC7942_1357		1391347	1396770	multi-sensor signal transduction histidine kinase	SYNPCC7942_1357 // SYNPCC7942_1356 // SYNPCC7942_1355	SYNPCC7942_1357	
SYNPCC7942_0259		255474	255806	conserved hypothetical protein	SYNPCC7942_0259	SYNPCC7942_0259	SYNPCC7942_RS01320
SYNPCC7942_0375		368929	370344	processing protease	SYNPCC7942_0377 // SYNPCC7942_0376 // SYNPCC7942_0375	SYNPCC7942_0375	SYNPCC7942_RS01910
SYNPCC7942_1276		1300381	1301163	extracellular solute-binding protein, family 3	rplT // SYNPCC7942_1276 // SYNPCC7942_1275 // SYNPCC7942_1274	SYNPCC7942_1276	SYNPCC7942_RS06535
SYNPCC7942_1140		1164350	1166107	conserved hypothetical protein	SYNPCC7942_1141 // SYNPCC7942_1140	SYNPCC7942_1140	SYNPCC7942_RS05835
SYNPCC7942_1940		2013361	2014620	putative membrane transporter	SYNPCC7942_1940 // gap3	SYNPCC7942_1940	SYNPCC7942_RS09845
SYNPCC7942_2056		2134608	2134985	hypothetical protein	SYNPCC7942_2056	SYNPCC7942_2056	
SYNPCC7942_2512		2590765	2592123	Protein of unknown function UPF0004	SYNPCC7942_2512 // SYNPCC7942_2511	SYNPCC7942_2512	SYNPCC7942_RS12745
coaBC		288534	289760	phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase	coaBC // SYNPCC7942_0291	SYNPCC7942_0292	SYNPCC7942_RS01490
SYNPCC7942_0222		222532	223398	conserved hypothetical protein	SYNPCC7942_0222 // glk	SYNPCC7942_0222	SYNPCC7942_RS01130
queC		1364091	1364786	Queuosine biosynthesis protein	pabC // pabB // queC // SYNPCC7942_1332 // SYNPCC7942_1331	SYNPCC7942_1333	SYNPCC7942_RS06815
SYNPCC7942_1092		1110004	1110663	conserved hypothetical protein	SYNPCC7942_1093 // SYNPCC7942_1092	SYNPCC7942_1092	SYNPCC7942_RS05605
recA		340698	341768	recA protein	recA	SYNPCC7942_0348	SYNPCC7942_RS01770
mmsB		1925835	1926701	3-hydroxyacid dehydrogenase	mmsB	SYNPCC7942_1857	SYNPCC7942_RS09420
SYNPCC7942_2019		2085893	2086762	conserved hypothetical protein	SYNPCC7942_2019	SYNPCC7942_2019	SYNPCC7942_RS10245
rhaT		1992369	1993463	permease of the drug/metabolite transporter	rhaT	SYNPCC7942_1917	SYNPCC7942_RS09730
SYNPCC7942_0182		180156	180881	hypothetical protein	SYNPCC7942_0182	SYNPCC7942_0182	SYNPCC7942_RS00925
gyrB		2571012	2572949	DNA gyrase, B subunit	gyrB	SYNPCC7942_2491	SYNPCC7942_RS12640
exbD		2499798	2500244	biopolymer transport ExbD like protein	SYNPCC7942_2431 // trm1 // exbB // exbD	SYNPCC7942_2428	SYNPCC7942_RS12335
SYNPCC7942_1061		1072278	1073213	conserved hypothetical protein	SYNPCC7942_1063 // SYNPCC7942_1062 // SYNPCC7942_1061	SYNPCC7942_1061	SYNPCC7942_RS05445
SYNPCC7942_1309		1336073	1337005	methylenetetrahydrofolate reductase	SYNPCC7942_1309 // trpS // SYNPCC7942_1307	SYNPCC7942_1309	SYNPCC7942_RS06695
SYNPCC7942_1981		2051891	2052499	conserved hypothetical protein	ndhM // SYNPCC7942_1981	SYNPCC7942_1981	SYNPCC7942_RS10045
apcC		322093	322296	Lc 7.8 apoprotein (core components of the phycobilisomes)	apcC	SYNPCC7942_0325	SYNPCC7942_RS01655
SYNPCC7942_1251		1274438	1275487	metalloendopeptidase, putative, glycoprotease family	SYNPCC7942_1251	SYNPCC7942_1251	SYNPCC7942_RS06410
SYNPCC7942_0153		156026	156307	conserved hypothetical protein	SYNPCC7942_0153 // mraY	SYNPCC7942_0153	SYNPCC7942_RS00775
natA		1965754	1966530	neutural amino acids ABC transporter ATPase component	natC // natA	SYNPCC7942_1893	SYNPCC7942_RS09600
SYNPCC7942_1022		1037049	1037837	conserved hypothetical protein	SYNPCC7942_1024 // SYNPCC7942_1023 // SYNPCC7942_1022	SYNPCC7942_1022	SYNPCC7942_RS05255
SYNPCC7942_2458		2536184	2538358	ComEC/Rec2-related protein	tRNA-Ser2 // SYNPCC7942_2458	SYNPCC7942_2458	SYNPCC7942_RS12490
cobA2		267165	267896	uroporphyrin-III C-methyltransferase	hemD // cobA2 // SYNPCC7942_0270	SYNPCC7942_0271	SYNPCC7942_RS01380
SYNPCC7942_0971		977903	979261	conserved hypothetical protein	SYNPCC7942_0971	SYNPCC7942_0971	SYNPCC7942_RS04990
moeA		1307304	1308515	molybdopterin biosynthesis protein moeA	moeA	SYNPCC7942_1286	
SYNPCC7942_0917		923527	923793	conserved hypothetical protein	SYNPCC7942_0917	SYNPCC7942_0917	SYNPCC7942_RS04720
cls		300008	301447	Phospholipase D/Transphosphatidylase	cls	SYNPCC7942_0302	SYNPCC7942_RS01540
hisA		1898205	1898975	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	hisA // SYNPCC7942_1828 // SYNPCC7942_1827	SYNPCC7942_1829	SYNPCC7942_RS09280
SYNPCC7942_1930		2004305	2005048	conserved hypothetical protein	SYNPCC7942_1931 // SYNPCC7942_1930 // SYNPCC7942_1929	SYNPCC7942_1930	SYNPCC7942_RS09795
phr		1936937	1937818	deoxyribodipyrimidine photolyase	SYNPCC7942_1868 // phr	SYNPCC7942_1867	SYNPCC7942_RS09475
SYNPCC7942_0875		877453	877887	conserved hypothetical protein	SYNPCC7942_0875 // SYNPCC7942_0874	SYNPCC7942_0875	SYNPCC7942_RS04510
crtZ		2514276	2515271	beta-carotene hydroxylase	crtZ	SYNPCC7942_2439	SYNPCC7942_RS12395
SYNPCC7942_2396		2471379	2471930	HAD-superfamily phosphatase subfamily IIIA	SYNPCC7942_2399 // yqgF // SYNPCC7942_2397 // SYNPCC7942_2396	SYNPCC7942_2396	SYNPCC7942_RS12175
SYNPCC7942_1888		1960851	1961891	conserved hypothetical protein	SYNPCC7942_1888 // SYNPCC7942_1887	SYNPCC7942_1888	SYNPCC7942_RS09575
tpiA		1284223	1285014	triosephosphate isomerase	SYNPCC7942_1262 // tpiA	SYNPCC7942_1261	SYNPCC7942_RS06460
cinA		275768	277033	Competence-damaged protein	glyA // SYNPCC7942_0281 // cinA	SYNPCC7942_0280	SYNPCC7942_RS01425
lgt		1250977	1251846	prolipoprotein diacylglyceryl transferase	lgt // cobM	SYNPCC7942_1230	SYNPCC7942_RS06305
SYNPCC7942_1837		1904030	1904374	conserved hypothetical protein	SYNPCC7942_1837 // SYNPCC7942_1836	SYNPCC7942_1837	SYNPCC7942_RS09320
asd		1914772	1915836	Aspartate-semialdehyde dehydrogenase	asd // dapA	SYNPCC7942_1848	SYNPCC7942_RS09375
SYNPCC7942_0810		804853	805086	hypothetical protein	SYNPCC7942_0810 // SYNPCC7942_0809	SYNPCC7942_0810	SYNPCC7942_RS04190
SYNPCC7942_2416		2488440	2489207	two component transcriptional regulator, winged helix family	SYNPCC7942_2416	SYNPCC7942_2416	SYNPCC7942_RS12275
bgtB		243507	244640	ABC-type amino acid transport system, permease subunit	dnaQ // SYNPCC7942_0250 // SYNPCC7942_0249 // SYNPCC7942_0248 // bgtB // SYNPCC7942_0246	SYNPCC7942_0247	SYNPCC7942_RS01260
SYNPCC7942_1800		1869943	1870455	conserved hypothetical protein	SYNPCC7942_1800	SYNPCC7942_1800	SYNPCC7942_RS09145
nrtA		1261868	1263199	NrtA	nrtD // nrtC // nrtB // nrtA // narB // nirA	SYNPCC7942_1239	SYNPCC7942_RS06350
SYNPCC7942_0772		764984	765577	conserved hypothetical protein	SYNPCC7942_0773 // SYNPCC7942_0772	SYNPCC7942_0772	SYNPCC7942_RS04005
SYNPCC7942_0257		254096	254845	Protein of unknown function DUF92, transmembrane	SYNPCC7942_0257	SYNPCC7942_0257	SYNPCC7942_RS01310
hetI		1874474	1875253	HetI protein-like	hetI	SYNPCC7942_1805	SYNPCC7942_RS09170
SYNPCC7942_1765		1832303	1832806	conserved hypothetical protein	SYNPCC7942_1765	SYNPCC7942_1765	
htpG		1884434	1886350	HtpG	htpG	SYNPCC7942_1813	SYNPCC7942_RS09205
SYNPCC7942_0751		746590	747510	conserved hypothetical protein	gpD // SYNPCC7942_0752 // SYNPCC7942_0751 // tmp	SYNPCC7942_0751	SYNPCC7942_RS03890
SYNPCC7942_2383		2450109	2451260	Nucleotide binding protein, PINc	SYNPCC7942_2383	SYNPCC7942_2383	SYNPCC7942_RS12110
SYNPCC7942_2374		2441447	2442805	Protein of unknown function UPF0004	ftsQ // SYNPCC7942_2376 // ddl // SYNPCC7942_2374	SYNPCC7942_2374	SYNPCC7942_RS12065
SYNPCC7942_1730		1802050	1802640	conserved hypothetical protein	SYNPCC7942_1730	SYNPCC7942_1730	SYNPCC7942_RS08805
aroD		922388	922837	3-dehydroquinate dehydratase, type II	SYNPCC7942_0916 // aroD // SYNPCC7942_0914 // SYNPCC7942_0913	SYNPCC7942_0915	SYNPCC7942_RS04705
anL15.5		36267	36392	hypothetical protein	anL15.5	SYNPCC7942_B2641	
rpmA		1242067	1242333	50S ribosomal subunit protein L27	rpmA // rplU	SYNPCC7942_1220	SYNPCC7942_RS06250
petF2		907925	908317	ferredoxin like protein	tRNA-Thr1 // petF2 // minE // minD	SYNPCC7942_0898	SYNPCC7942_RS04625
SYNPCC7942_0727		720423	722966	conserved hypothetical protein	SYNPCC7942_0727 // SYNPCC7942_0726 // SYNPCC7942_0725	SYNPCC7942_0727	SYNPCC7942_RS03760
SYNPCC7942_0235		231162	231677	cyclic nucleotide-binding domain (cNMP-BD) protein	SYNPCC7942_0235	SYNPCC7942_0235	SYNPCC7942_RS01195
SYNPCC7942_1677		1745500	1746597	conserved hypothetical protein	SYNPCC7942_1678 // SYNPCC7942_1677 // SYNPCC7942_1676	SYNPCC7942_1677	SYNPCC7942_RS08545
dnaJ2		1860032	1861012	heat shock protein DnaJ-2	dam // dnaJ2	SYNPCC7942_1789	SYNPCC7942_RS09090
VapC		1236470	1236886	virulence associated protein C	VapC	SYNPCC7942_1213	SYNPCC7942_RS06215
anL30		65	394	putative nucleotidyltransferase	anL30	SYNPCC7942_B2615	SYNPCC7942_RS13335
SYNPCC7942_2358		2424522	2425352	nitrilase-like	SYNPCC7942_2359 // SYNPCC7942_2358	SYNPCC7942_2358	SYNPCC7942_RS11980
SYNPCC7942_0700		691824	692744	conserved hypothetical protein	SYNPCC7942_0700	SYNPCC7942_0700	SYNPCC7942_RS03590
rpsG		893112	893582	30S ribosomal subunit protein S7	rpsG	SYNPCC7942_0886	SYNPCC7942_RS04565
SYNPCC7942_0217		219113	219871	phosphatases-like	SYNPCC7942_0217	SYNPCC7942_0217	SYNPCC7942_RS01100
SYNPCC7942_1644		1712014	1712817	conserved hypothetical protein	SYNPCC7942_1644	SYNPCC7942_1644	SYNPCC7942_RS08385
trpC		1224841	1225728	Indole-3-glycerol-phosphate synthase	trpC	SYNPCC7942_1197	SYNPCC7942_RS06130
SYNPCC7942_2576		2660596	2662110	conserved hypothetical protein	SYNPCC7942_2576	SYNPCC7942_2576	SYNPCC7942_RS13115
ccoN		202638	204089	Cbb3-type cytochrome oxidase subunit 1-like	ccoN // ccoO // SYNPCC7942_0200 // SYNPCC7942_0199 // ndbC	SYNPCC7942_0202	SYNPCC7942_RS01025
phoH		1839685	1840650	phosphate starvation-induced protein	phoH	SYNPCC7942_1775	SYNPCC7942_RS09020
SYNPCC7942_0661		656270	657874	conserved hypothetical protein	SYNPCC7942_0661 // tyrA	SYNPCC7942_0661	SYNPCC7942_RS03385
SYNPCC7942_1752		1821018	1821770	Armadillo:PBS lyase HEAT-like repeat	SYNPCC7942_1752	SYNPCC7942_1752	SYNPCC7942_RS08915
SYNPCC7942_1604		1669273	1670625	conserved hypothetical protein	SYNPCC7942_1604 // ampC	SYNPCC7942_1604	SYNPCC7942_RS08185
zwf		2401339	2402874	glucose-6-phosphate 1-dehydrogenase subunit	zwf // opcA	SYNPCC7942_2334	SYNPCC7942_RS11865
pilT2		2416387	2417580	twitching motility protein	pilT2	SYNPCC7942_2349	SYNPCC7942_RS11935
SYNPCC7942_2520		2601979	2602689	conserved hypothetical protein	SYNPCC7942_2521 // SYNPCC7942_2520	SYNPCC7942_2520	SYNPCC7942_RS12795
cheY1		853629	854882	response regulator receiver domain protein (CheY-like)	cheY1	SYNPCC7942_0855	SYNPCC7942_RS04410
SYNPCC7942_0614		603996	605675	conserved hypothetical protein	SYNPCC7942_0614 // sixA	SYNPCC7942_0614	SYNPCC7942_RS03150
psbL		1209424	1209546	PsbL	psbE // psbF // psbL	SYNPCC7942_1175	SYNPCC7942_RS06020
SYNPCC7942_0878		883835	886261	ribonuclease, Rne/Rng family	rnhB // SYNPCC7942_0878	SYNPCC7942_0878	SYNPCC7942_RS04525
SYNPCC7942_1558		1615204	1616271	conserved hypothetical protein	SYNPCC7942_1559 // SYNPCC7942_1558	SYNPCC7942_1558	SYNPCC7942_RS07950
SYNPCC7942_0177		174709	175497	ABC-type uncharacterized transport system, permease component	SYNPCC7942_0178 // SYNPCC7942_0177	SYNPCC7942_0177	SYNPCC7942_RS00900
SYNPCC7942_2481		2561836	2563068	conserved hypothetical protein	SYNPCC7942_2481 // phyA2	SYNPCC7942_2481	
SYNPCC7942_1729		1800893	1802005	potassium-transporting ATPase D chain	SYNPCC7942_1729 // SYNPCC7942_1728	SYNPCC7942_1729	SYNPCC7942_RS08800
ribD2		1215652	1216350	putative riboflavin-specific deaminase	SYNPCC7942_1187 // ribD2 // SYNPCC7942_1185	SYNPCC7942_1186	SYNPCC7942_RS06075
SYNPCC7942_0573		555297	555533	hypothetical protein	SYNPCC7942_0573	SYNPCC7942_0573	SYNPCC7942_RS02920
groS		2383296	2383607	GroES	groL // groS	SYNPCC7942_2314	SYNPCC7942_RS11765
SYNPCC7942_1502		1551742	1552302	conserved hypothetical protein	SYNPCC7942_1503 // SYNPCC7942_1502	SYNPCC7942_1502	SYNPCC7942_RS07675
purQ		813221	813886	phosphoribosylformylglycinamidine synthase I	purQ // purS	SYNPCC7942_0819	SYNPCC7942_RS04235
cbiD		189273	190397	cobalt-precorrin-6A synthase	cbiD // guaA	SYNPCC7942_0190	SYNPCC7942_RS00965
SYNPCC7942_2424		2496824	2497627	conserved hypothetical protein	SYNPCC7942_2424	SYNPCC7942_2424	SYNPCC7942_RS12315
SYNPCC7942_1136		1158027	1160624	PBS lyase HEAT-like repeat	SYNPCC7942_1136	SYNPCC7942_1136	SYNPCC7942_RS05815
SYNPCC7942_0541		524832	525062	conserved hypothetical protein	SYNPCC7942_0541 // SYNPCC7942_0540 // SYNPCC7942_0539	SYNPCC7942_0541	SYNPCC7942_RS02750
secF		142618	143562	SecF protein	pdhB // secD // secF // SYNPCC7942_0140	SYNPCC7942_0141	SYNPCC7942_RS00715
SYNPCC7942_1741		1811099	1812535	UDP-N-acetylmuramate--alanine ligase	SYNPCC7942_1741 // SYNPCC7942_1740	SYNPCC7942_1741	SYNPCC7942_RS08860
SYNPCC7942_1459		1511592	1512212	conserved hypothetical protein	SYNPCC7942_1459	SYNPCC7942_1459	SYNPCC7942_RS07465
opdA		1776199	1778226	Oligopeptidase A	opdA	SYNPCC7942_1708	SYNPCC7942_RS08690
SYNPCC7942_2395		2470889	2471140	conserved hypothetical protein	SYNPCC7942_2395	SYNPCC7942_2395	SYNPCC7942_RS12170
kdsA		2358695	2359549	2-dehydro-3-deoxyphosphooctonate aldolase	gutQ // kdsB // kdsA // kdsC	SYNPCC7942_2289	SYNPCC7942_RS11635
SYNPCC7942_2325		2392327	2393094	PBS lyase HEAT-like repeat	SYNPCC7942_2325	SYNPCC7942_2325	SYNPCC7942_RS11820
SYNPCC7942_0503		490074	490382	hypothetical protein	hemA // SYNPCC7942_0503 // SYNPCC7942_0502 // SYNPCC7942_0501 // SYNPCC7942_0500	SYNPCC7942_0503	SYNPCC7942_RS02555
SYNPCC7942_0792		787255	788490	putative multidrug efflux MFS transporter	SYNPCC7942_0792	SYNPCC7942_0792	SYNPCC7942_RS04100
SYNPCC7942_1411		1463651	1464358	conserved hypothetical protein	SYNPCC7942_1412 // SYNPCC7942_1411	SYNPCC7942_1411	SYNPCC7942_RS07220
SYNPCC7942_1111		1127864	1129447	serine/threonine protein kinase	SYNPCC7942_1115 // SYNPCC7942_1114 // SYNPCC7942_1113 // rluD // SYNPCC7942_1111	SYNPCC7942_1111	SYNPCC7942_RS05695
SYNPCC7942_1158		1189305	1192448	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains) with PAS/PAC and GAF sensor(s)	SYNPCC7942_1158	SYNPCC7942_1158	SYNPCC7942_RS05935
SYNPCC7942_2344		2411499	2412449	conserved hypothetical protein	SYNPCC7942_2344	SYNPCC7942_2344	SYNPCC7942_RS11910
scrK		114299	115273	fructokinase	scrK	SYNPCC7942_0116	SYNPCC7942_RS00585
SYNPCC7942_0121		120013	121239	conserved hypothetical protein	SYNPCC7942_0121 // SYNPCC7942_0120	SYNPCC7942_0121	SYNPCC7942_RS00610
cysR		1751336	1751956	transcriptional regulator CysR	cysR // SYNPCC7942_1683 // cysW	SYNPCC7942_1684	SYNPCC7942_RS08580
SYNPCC7942_0159		161198	161632	Mov34/MPN/PAD-1	SYNPCC7942_0159 // SYNPCC7942_0158	SYNPCC7942_0159	SYNPCC7942_RS00805
SYNPCC7942_0465		451023	451748	conserved hypothetical protein	SYNPCC7942_0465	SYNPCC7942_0465	SYNPCC7942_RS02370
rimM		2328300	2328848	16S rRNA processing protein RimM	rimM // avtA	SYNPCC7942_2259	SYNPCC7942_RS11480
SYNPCC7942_1364		1402687	1403103	conserved hypothetical protein	SYNPCC7942_1364	SYNPCC7942_1364	SYNPCC7942_RS06975
SYNPCC7942_0764		757356	757595	transcriptional regulator, XRE family	SYNPCC7942_0764 // SYNPCC7942_0763	SYNPCC7942_0764	SYNPCC7942_RS03960
icd		1790369	1791796	isocitrate dehydrogenase, NADP-dependent	icd	SYNPCC7942_1719	SYNPCC7942_RS08745
SYNPCC7942_2292		2361401	2363665	conserved hypothetical protein	SYNPCC7942_2295 // SYNPCC7942_2294 // SYNPCC7942_2293 // SYNPCC7942_2292	SYNPCC7942_2292	SYNPCC7942_RS11650
hemE		1102104	1103168	uroporphyrinogen decarboxylase	petE // SYNPCC7942_1087 // hemE	SYNPCC7942_1086	SYNPCC7942_RS05575
SYNPCC7942_0072		71307	71960	conserved hypothetical protein	ispH // SYNPCC7942_0072	SYNPCC7942_0072	SYNPCC7942_RS00355
ubiC		89715	90326	chorismate lyase	ubiC	SYNPCC7942_0091	SYNPCC7942_RS00460
nblR		2373315	2374001	NblR response regulator	nblR	SYNPCC7942_2305	SYNPCC7942_RS11715
SYNPCC7942_0423		413396	413614	conserved hypothetical protein	SYNPCC7942_0423	SYNPCC7942_0423	SYNPCC7942_RS02160
SYNPCC7942_1652		1721792	1723432	Radical SAM domain protein	SYNPCC7942_1652 // SYNPCC7942_1651	SYNPCC7942_1652	SYNPCC7942_RS08425
SYNPCC7942_1328		1361167	1361559	conserved hypothetical protein	SYNPCC7942_1328	SYNPCC7942_1328	SYNPCC7942_RS06790
ndhN		2300183	2300659	NADH dehydrogenase I subunit N	trmD // ndhN	SYNPCC7942_2234	SYNPCC7942_RS11345
SYNPCC7942_0812		806893	807813	Heat shock protein DnaJ-like	SYNPCC7942_0815 // petF1 // hisS2 // SYNPCC7942_0812	SYNPCC7942_0812	SYNPCC7942_RS04200
SYNPCC7942_2255		2325520	2325924	conserved hypothetical protein	SYNPCC7942_2255	SYNPCC7942_2255	SYNPCC7942_RS11465
ispG		706450	707673	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (ferredoxin)	ispG	SYNPCC7942_0713	SYNPCC7942_RS03655
SYNPCC7942_0035		34357	35115	conserved hypothetical protein	SYNPCC7942_0035	SYNPCC7942_0035	SYNPCC7942_RS00175
SYNPCC7942_1056		1066706	1067488	transcriptional regulator, XRE family	thiS // thiE // SYNPCC7942_1056 // cpcF // cpcE	SYNPCC7942_1056	SYNPCC7942_RS05415
SYNPCC7942_1125		1143397	1144332	putative CheA signal transduction histidine kinases, no good domain identification	SYNPCC7942_1125	SYNPCC7942_1125	SYNPCC7942_RS05760
SYNPCC7942_0395		388494	389618	hypothetical protein	SYNPCC7942_0395	SYNPCC7942_0395	SYNPCC7942_RS02015
SYNPCC7942_0067		67177	67986	ABC type transporter, permease component	SYNPCC7942_0068 // SYNPCC7942_0067 // SYNPCC7942_0066	SYNPCC7942_0067	SYNPCC7942_RS00330
SYNPCC7942_0389		382081	382332	hypothetical protein	SYNPCC7942_0389	SYNPCC7942_0389	
